ingredient,measurement,name,unit
Lemon wheels,1,Peach Iced Tea,units
Cachaca,2,Pearl Button,oz
Lillet blanc,0.75,Pearl Button,oz
Lime juice,0.5,Pearl Button,oz
Pineapple wedge,1,Pearl Button,units
Maraschino cherry,1,Pearl Button,units
Dry vermouth,0.75,Peggy Cocktail,oz
Gin,1.5,Peggy Cocktail,oz
Anis,0.25,Peggy Cocktail,oz
Dubonnet,0.25,Peggy Cocktail,oz
Vodka,1,Petit Zinc,oz
Triple sec,0.5,Petit Zinc,oz
Sweet vermouth,0.5,Petit Zinc,oz
Orange juice,0.5,Petit Zinc,oz
Dubonnet,1.5,Phoebe Snow,oz
Brandy,1.5,Phoebe Snow,oz
Anis,0.5,Phoebe Snow,oz
Dubonnet,1.5,Phoebe Snow Cocktail,oz
Old mr. boston five star brandy,1.5,Phoebe Snow Cocktail,oz
Absinthe,0.5,Phoebe Snow Cocktail,oz
Vodka,2,Pickled Martini,oz
Dry vermouth,0.25,Pickled Martini,oz
Sweet pickle brine,0.75,Pickled Martini,oz
Sweet pickle slice,1,Pickled Martini,units
Vodka,2,Pickled Pink,oz
Aquavit,1,Pickled Pink,oz
Dill pickle brine,0.5,Pickled Pink,oz
Angostura bitters,2,Pickled Pink,oz
Cider,1,Pike's Peak Cooler,units
Lemon juice,0.5,Pike's Peak Cooler,oz
Powdered sugar,1,Pike's Peak Cooler,oz
Egg,1,Pike's Peak Cooler,units
Cucumber,5,Pina Agave,oz
Blanco tequila,1.5,Pina Agave,oz
Pineapple juice,1,Pina Agave,oz
Lemon juice,0.75,Pina Agave,oz
Agave nectar,0.5,Pina Agave,oz
Lemon-lime soda,3,Pina Agave,oz
Light rum,1.5,Pineapple Cocktail,oz
Pineapple juice,0.75,Pineapple Cocktail,oz
Lemon juice,0.5,Pineapple Cocktail,oz
Pineapple juice,0.5,Pineapple Dream Cocktail,oz
Lime juice,0.5,Pineapple Dream Cocktail,oz
Old mr. boston imported rum,1,Pineapple Dream Cocktail,oz
Light rum,2,Pineapple Fizz,oz
Pineapple juice,1,Pineapple Fizz,oz
Simple syrup,1,Pineapple Fizz,oz
Lemon juice,0.25,Ping-Pong Cocktail,oz
Egg white,1,Ping-Pong Cocktail,units
Sloe gin,2,Ping-Pong Cocktail,oz
Light rum,1.5,Pink Creole,oz
Lime juice,0.5,Pink Creole,oz
Grenadine,0.25,Pink Creole,oz
Half-and-half,0.25,Pink Creole,oz
Rum-soaked black cherry,1,Pink Creole,units
Egg white,1,Pink Lady Cocktail,units
Grenadine,1,Pink Lady Cocktail,oz
Sweet cream,1,Pink Lady Cocktail,oz
Old mr. boston dry gin,1.5,Pink Lady Cocktail,oz
Citrus-flavored vodka,1.5,Pink Lemonade,oz
Triple sec,0.25,Pink Lemonade,oz
Lime juice,0.25,Pink Lemonade,oz
Lemon juice,0.25,Pink Lemonade,oz
Simple syrup,0.25,Pink Lemonade,oz
Cranberry juice,2,Pink Lemonade,oz
Lemon wheels,2,Pink Lemonade,units
Coconut-flavored rum,1.5,Pink Paradise,oz
Amaretto,1,Pink Paradise,oz
Cranberry juice,3,Pink Paradise,oz
Pineapple juice,1.5,Pink Paradise,oz
Pineapple wedge,1,Pink Paradise,units
Maraschino cherry,1,Pink Paradise,units
Vodka,1.5,Pink Pussycat,oz
Grenadine,0.5,Pink Pussycat,oz
Pineapple,0.5,Pink Pussycat,units
Grapefruit juice,2,Pink Pussycat with Grapefruit juice,oz
Vodka,1.5,Pink Pussycat with Grapefruit juice,oz
Grenadine,0.5,Pink Pussycat with Grapefruit juice,oz
Lemon juice,0.5,Pink Rose Fizz,oz
Powdered sugar,1,Pink Rose Fizz,oz
Egg white,1,Pink Rose Fizz,units
Light cream,2,Pink Rose Fizz,oz
Gin,2,Pink Rose Fizz,oz
Mr. boston creme de noyaux,1,Pink Squirrel Cocktail,oz
Old mr. boston white creme de cacao,1,Pink Squirrel Cocktail,oz
Light cream,1,Pink Squirrel Cocktail,oz
Dry vermouth,1,Plain Vermouth Cocktail,oz
Sweet vermouth,1,Plain Vermouth Cocktail,oz
Orange bitters,1,Plain Vermouth Cocktail,oz
Jamaica rum,1.5,Planter's Cocktail,oz
Lemon juice,0.5,Planter's Cocktail,oz
Simple syrup,1,Planter's Cocktail,oz
Light rum,2.5,Planter's Punch No. 1,oz
Lime juice,2,Planter's Punch No. 1,oz
Simple syrup,0.5,Planter's Punch No. 1,oz
Soda water,2,Planter's Punch No. 1,oz
Grenadine,1,Planter's Punch No. 1,oz
Lemon,1,Planter's Punch No. 1,units
Orange,1,Planter's Punch No. 1,units
Pineapple slices,1,Planter's Punch No. 1,units
Maraschino cherry,1,Planter's Punch No. 1,units
Light rum,2,Planter's Punch No. 2,oz
Orange juice,2,Planter's Punch No. 2,oz
Lime juice,1,Planter's Punch No. 2,oz
Jamaica rum,1,Planter's Punch No. 2,oz
Grenadine,1,Planter's Punch No. 2,oz
Pineapple juice,0.5,Planter's Punch No. 2,oz
Lemon juice,0.25,Planter's Punch No. 2,oz
Triple sec,0.25,Planter's Punch No. 2,oz
Lemon,1,Planter's Punch No. 2,units
Orange,1,Planter's Punch No. 2,units
Pineapple slices,1,Planter's Punch No. 2,units
Maraschino cherry,1,Planter's Punch No. 2,units
Mint sprigs,1,Planter's Punch No. 2,units
Sweet vermouth,0.75,Plaza Cocktail,oz
Dry vermouth,0.75,Plaza Cocktail,oz
Gin,0.75,Plaza Cocktail,oz
Light rum,1.5,Poker Cocktail,oz
Sweet vermouth,1.5,Poker Cocktail,oz
Orange,3,Pollyanna Cocktai,units
Pineapple,0.5,Pollyanna Cocktai,units
Gin,2,Pollyanna Cocktai,oz
Sweet vermouth,0.5,Pollyanna Cocktai,oz
Grenadine,0.5,Pollyanna Cocktai,oz
Orange peel,3,Pollyanna Cocktail,units
Pineapple,0.5,Pollyanna Cocktail,units
Old mr. boston dry gin,2,Pollyanna Cocktail,oz
Sweet vermouth,0.5,Pollyanna Cocktail,oz
Brandy,1.5,Polonaise,oz
Blackberry-flavored brandy,1,Polonaise,oz
Dry sherry,0.5,Polonaise,oz
Lemon juice,1,Polonaise,oz
Lime wedges,1,Polynesian Cocktail,units
Superfine sugar,1,Polynesian Cocktail,oz
Vodka,1.5,Polynesian Cocktail,oz
Cherry-flavored brandy,0.75,Polynesian Cocktail,oz
Lime juice,0.75,Polynesian Cocktail,oz
Sugar,0.5,Port Wine Cobbler,oz
Carbonated water,2,Port Wine Cobbler,oz
Shaved ice,1,Port Wine Cobbler,units
Port,3,Port Wine Cobbler,oz
Egg,1,Port Wine Flip,units
Powdered sugar,1,Port Wine Flip,oz
Port,1.5,Port Wine Flip,oz
Light cream,2,Port Wine Flip,oz
Maraschino,1,Pousse L'Amour,oz
Egg yolk,1,Pousse L'Amour,units
Benedictine,0.5,Pousse L'Amour,oz
Brandy,0.5,Pousse L'Amour,oz
Tequila,1.5,Prado,oz
Lemon juice,0.75,Prado,oz
Maraschino,1,Prado,oz
Egg white,0.5,Prado,units
Grenadine,1,Prado,oz
Old mr. boston dry gin,1,Praire Chicken,oz
Egg,1,Praire Chicken,units
Pepper,1,Praire Chicken,oz
Salt,1,Praire Chicken,oz
Old mr. boston five star brandy,1,Praire Oyster Cocktail,oz
Worcestershire sauce,1,Praire Oyster Cocktail,oz
Tomato catsup,1,Praire Oyster Cocktail,oz
Vinegar,1,Praire Oyster Cocktail,oz
Pepper,1,Praire Oyster Cocktail,oz
Gin,1,Prairie Chicken,oz
Egg,1,Prairie Chicken,units
Pepper,1,Prairie Chicken,oz
Salt,1,Prairie Chicken,oz
Brandy,1,Prairie Oyster,oz
Worcestershire sauce,1,Prairie Oyster,oz
Ketchup,1,Prairie Oyster,oz
Vinegar,1,Prairie Oyster,oz
Pepper,1,Prairie Oyster,oz
Old mr. boston five star brandy,1,Prairie Oyster Cocktail,oz
Worcestershire sauce,1,Prairie Oyster Cocktail,oz
Tomato catsup,1,Prairie Oyster Cocktail,oz
Vinegar,1,Prairie Oyster Cocktail,oz
Pepper,1,Prairie Oyster Cocktail,oz
Egg yolk,1,Prairie Oyster Cocktail,units
Vodka,2,Pretty In Pink,oz
Cranberry juice,0.5,Pretty In Pink,oz
Creme de noyaux,0.75,Pretty In Pink,oz
Lemon juice,0.75,Pretty In Pink,oz
Old mr. boston apricot flavored brandy,0.5,Prince's Smile Cocktail,oz
Apple brandy,0.5,Prince's Smile Cocktail,oz
Old mr. boston dry gin,1,Prince's Smile Cocktail,oz
Lemon juice,0.25,Prince's Smile Cocktail,oz
Vodka,2,Priority Cocktail,oz
Calvados,0.5,Priority Cocktail,oz
Coffee liqueur,0.5,Priority Cocktail,oz
Lemon twist,1,Priority Cocktail,units
Dark rum,1.5,Prohibition Punch,oz
Grand marnier,0.75,Prohibition Punch,oz
Passion fruit juice,1,Prohibition Punch,oz
Cranberry juice,1,Prohibition Punch,oz
Lemon juice,0.25,Prohibition Punch,oz
Champagne,2,Prohibition Punch,oz
Applejack,1.5,Puerto Apple,oz
Light rum,0.75,Puerto Apple,oz
Lime juice,1,Puerto Apple,oz
Orgeat syrup,1,Puerto Apple,oz
Dark rum,1.5,Puerto Rican Rum Daisy,oz
Orange curacao,0.25,Puerto Rican Rum Daisy,oz
Lemon juice,0.75,Puerto Rican Rum Daisy,oz
Orange juice,0.5,Puerto Rican Rum Daisy,oz
Simple syrup,0.5,Puerto Rican Rum Daisy,oz
Angostura bitters,1,Puerto Rican Rum Daisy,oz
Freshly grated nutmeg,1,Puerto Rican Rum Daisy,units
Orange wheel,1,Puerto Rican Rum Daisy,units
Vodka,1,Purple Mask,oz
Concord grape juice,1,Purple Mask,oz
White creme de cacao,0.5,Purple Mask,oz
Lime wedges,1,Purple Pancho,units
Superfine sugar,1,Purple Pancho,oz
Blanco tequila,1,Purple Pancho,oz
Blue curacao,0.5,Purple Pancho,oz
Sloe gin,0.5,Purple Pancho,oz
Lime juice,2,Purple Pancho,oz
Lemon juice,1,Purple Pancho,oz
Simple syrup,1,Purple Pancho,oz
Lime wheels,1,Purple Pancho,units
Vodka,1.5,Purple Passion,oz
Grapefruit juice,2,Purple Passion,oz
Concord grape juice,2,Purple Passion,oz
Simple syrup,0.5,Purple Passion,oz
Vodka,0.5,Purple Passion Iced Tea,oz
Light rum,0.5,Purple Passion Iced Tea,oz
Gin,0.5,Purple Passion Iced Tea,oz
Black raspberry liqueur,0.5,Purple Passion Iced Tea,oz
Simple syrup,0.5,Purple Passion Iced Tea,oz
Lemon juice,0.75,Purple Passion Iced Tea,oz
Vodka,1.5,Purple Ruby,oz
Pomegranate juice,1.5,Purple Ruby,oz
Grapefruit juice,0.5,Purple Ruby,oz
Lime juice,0.25,Purple Ruby,oz
Honey syrup,0.25,Purple Ruby,oz
Grapefruit twist,1,Purple Ruby,units
Old mr. boston grape vodka,2,Purple Twister,oz
Cola,3,Purple Twister,oz
Lemon slice,1,Purple Twister,units
Light rum,0.75,Quaker's Cocktail,oz
Brandy,0.75,Quaker's Cocktail,oz
Lemon juice,0.5,Quaker's Cocktail,oz
Raspberry syrup,0.25,Quaker's Cocktail,oz
Light rum,1.5,Quarter Deck Cocktail,oz
Cream sherry,0.5,Quarter Deck Cocktail,oz
Lime juice,0.5,Quarter Deck Cocktail,oz
Lime vodka,1.5,Queen Bee,oz
Coffee-flavored brandy,1,Queen Bee,oz
Cream sherry,0.5,Queen Bee,oz
Old mr. boston dry gin,1.5,Queen Elizabeth Cocktail,oz
Dry vermouth,0.5,Queen Elizabeth Cocktail,oz
Benedictine,1.5,Queen Elizabeth Cocktail,oz
Blanco tequila,1,Quetzalcoatl,oz
Mezcal,0.75,Quetzalcoatl,oz
Creme de peche,0.5,Quetzalcoatl,oz
Guava puree,0.5,Quetzalcoatl,oz
Grapefruit juice,0.5,Quetzalcoatl,oz
Grapefruit twist,1,Quetzalcoatl,units
Gin,1.5,Racquet Club Cocktail,oz
Dry vermouth,0.75,Racquet Club Cocktail,oz
Orange bitters,1,Racquet Club Cocktail,oz
Lemon juice,0.5,Ramos Fizz,oz
Egg white,1,Ramos Fizz,units
Powdered sugar,1,Ramos Fizz,oz
Gin,2,Ramos Fizz,oz
Light cream,1,Ramos Fizz,oz
Triple sec,0.5,Ramos Fizz,oz
Blended whiskey,1.5,Rattlesnake Cocktail,oz
Egg white,1,Rattlesnake Cocktail,units
Lemon juice,1,Rattlesnake Cocktail,oz
Powdered sugar,0.5,Rattlesnake Cocktail,oz
Anis,0.25,Rattlesnake Cocktail,oz
Bourbon,1,Rebel Charge,oz
Triple sec,0.5,Rebel Charge,oz
Orange juice,1,Rebel Charge,oz
Lemon juice,1,Rebel Charge,oz
Egg white,0.5,Rebel Charge,units
Vodka,1.5,Red Apple,oz
Apple juice,1,Red Apple,oz
Lemon juice,0.5,Red Apple,oz
Grenadine,1,Red Apple,oz
Bourbon,1,Red Raider,oz
Triple sec,0.5,Red Raider,oz
Lemon juice,1,Red Raider,oz
Grenadine,1,Red Raider,oz
Lime juice,1,Red Swizzle,oz
Powdered sugar,1,Red Swizzle,oz
Carbonated water,2,Red Swizzle,oz
Gin,2,Red Swizzle,oz
Bitters,2,Red Swizzle,oz
Grenadine,1,Red Swizzle,oz
Strawberries,4,Redhead Martini,units
Lemon juice,0.75,Redhead Martini,oz
Simple syrup,0.75,Redhead Martini,oz
Citrus-flavored vodka,1.5,Redhead Martini,oz
Chilled moscato d'asti,1,Redhead Martini,oz
Sweet sparkling wine,1,Redhead Martini with Sweet sparkling wine,oz
Strawberries,4,Redhead Martini with Sweet sparkling wine,units
Lemon juice,0.75,Redhead Martini with Sweet sparkling wine,oz
Simple syrup,0.75,Redhead Martini with Sweet sparkling wine,oz
Citrus-flavored vodka,1.5,Redhead Martini with Sweet sparkling wine,oz
Lemon juice,0.25,Resolute Cocktail,oz
Apricot flavored brandy,0.5,Resolute Cocktail,oz
Gin,1,Resolute Cocktail,oz
Coconut rum,2,Restless Native,oz
White creme de cacao,0.75,Restless Native,oz
Lime juice,1.5,Restless Native,oz
Light rum,1.5,Restless Native,oz
Red grapes,3,Ringo Starr,oz
Lemon,0.5,Ringo Starr,units
Mint leaves,6,Ringo Starr,units
Sugar cube,1,Ringo Starr,oz
African rum,2,Ringo Starr,oz
Pastis,2,Rio Fix,oz
Cachaca,1.5,Rio Fix,oz
Maraschino liqueur,0.5,Rio Fix,oz
Lime juice,0.75,Rio Fix,oz
Pineapple juice,0.5,Rio Fix,oz
Sweet vermouth,0.75,Rob Roy Cocktail,oz
Desmond & duff scotch whisky,1.5,Rob Roy Cocktail,oz
Vodka,1,Robin's Nest,oz
Cranberry juice,1,Robin's Nest,oz
White creme de cacao,0.5,Robin's Nest,oz
Jamaica rum,1.5,Robson Cocktail,oz
Lemon juice,0.5,Robson Cocktail,oz
Orange juice,0.5,Robson Cocktail,oz
Grenadine,0.25,Robson Cocktail,oz
Rock,1,Rock & Rye Cocktail,oz
Rye,1,Rock & Rye Cocktail,oz
White port wine,1,Rock & Rye Cocktail,oz
Dry vermouth,1.5,Rock & Rye Cocktail,oz
Rock,1,Rock & Rye Cooler,oz
Rye,1,Rock & Rye Cooler,oz
Vodka,1.5,Rock & Rye Cooler,oz
Lime juice,1,Rock & Rye Cooler,oz
Bitter lemon soda,1,Rock & Rye Cooler,units
Cherry vodka,1,Rococo,oz
Orange juice,1,Rococo,oz
Triple sec,0.5,Rococo,oz
Dry vermouth,0.75,Roselyn Cocktail,oz
Gin,1.5,Roselyn Cocktail,oz
Grenadine,0.5,Roselyn Cocktail,oz
Vodka,1.5,Rosemary Clementine Sparkle,oz
Lemon juice,0.75,Rosemary Clementine Sparkle,oz
Honey syrup,0.75,Rosemary Clementine Sparkle,oz
Fresh rosemary sprig,1,Rosemary Clementine Sparkle,oz
Clementine,0.25,Rosemary Clementine Sparkle,oz
Mandarin orange,0.25,Rosemary Clementine Sparkle with Mandarin orange,oz
Vodka,1.5,Rosemary Clementine Sparkle with Mandarin orange,oz
Lemon juice,0.75,Rosemary Clementine Sparkle with Mandarin orange,oz
Honey syrup,0.75,Rosemary Clementine Sparkle with Mandarin orange,oz
Fresh rosemary sprig,1,Rosemary Clementine Sparkle with Mandarin orange,oz
Chilled sparkling wine,1,Rosemary Clementine Sparkle,oz
Champagne,1,Rosemary Clementine Sparkle with Champagne,oz
Vodka,1.5,Rosemary Clementine Sparkle with Champagne,oz
Lemon juice,0.75,Rosemary Clementine Sparkle with Champagne,oz
Honey syrup,0.75,Rosemary Clementine Sparkle with Champagne,oz
Fresh rosemary sprig,1,Rosemary Clementine Sparkle with Champagne,oz
Blanco tequila,1.5,Rosita,oz
Sweet vermouth,0.5,Rosita,oz
Dry vermouth,0.5,Rosita,oz
Campari,0.5,Rosita,oz
Angostura bitters,1,Rosita,oz
Lemon twist,1,Rosita,units
Lemon wedges,1,Rouxby Red,units
Coarse salt,1,Rouxby Red,oz
Grapefruit-flavored vodka,1.5,Rouxby Red,oz
Lemon juice,0.25,Rouxby Red,oz
Grapefruit juice,0.75,Rouxby Red,oz
Campari,0.5,Rouxby Red,oz
Simple syrup,0.5,Rouxby Red,oz
Lime juice,1,Royal Clover Club Cocktail,oz
Grenadine,1,Royal Clover Club Cocktail,oz
Egg yolk,1,Royal Clover Club Cocktail,units
Gin,1.5,Royal Clover Club Cocktail,oz
Egg,1,Royal Cocktail,units
Lemon juice,0.5,Royal Cocktail,oz
Powdered sugar,0.5,Royal Cocktail,oz
Gin,1.5,Royal Cocktail,oz
Lemon juice,0.5,Royal Gin Fizz,oz
Powdered sugar,1,Royal Gin Fizz,oz
Gin,2,Royal Gin Fizz,oz
Egg,1,Royal Gin Fizz,units
Red wine,50,Royal Purple Punch,oz
Ginger ale,3,Royal Purple Punch,oz
Lemon,1,Royal Purple Punch,units
Whole cloves,1,Royal Purple Punch,units
Lemon juice,0.5,Ruby Fizz,oz
Powdered sugar,1,Ruby Fizz,oz
Egg white,1,Ruby Fizz,units
Grenadine,1,Ruby Fizz,oz
Sloe gin,2,Ruby Fizz,oz
Grapefruit-flavored vodka,2,Ruby Red,oz
Triple sec,1.5,Ruby Red,oz
Fresh ruby red grapefruit juice,1.5,Ruby Red,oz
Orange juice,1,Ruby Red,oz
Light rum,2,Rum Cobbler,oz
Simple syrup,0.25,Rum Cobbler,oz
Soda water,3,Rum Cobbler,oz
Light rum,2,Rum Collins,oz
Lime juice,1,Rum Collins,oz
Simple syrup,0.5,Rum Collins,oz
Lemon wheels,1,Rum Collins,units
Maraschino cherry,1,Rum Collins,units
Light rum,2,Rum Cooler,oz
Simple syrup,0.5,Rum Cooler,oz
Soda water,2,Rum Cooler,oz
Orange,1,Rum Cooler,units
Sugar,0.25,Rum Coooler,oz
Carbonated water,2,Rum Coooler,oz
Mr. boston rum,1,Rum Coooler,oz
Ginger ale,3,Rum Coooler,oz
Light rum,2,Rum Daisy,oz
Lemon juice,0.5,Rum Daisy,oz
Simple syrup,1,Rum Daisy,oz
Grenadine,1,Rum Daisy,oz
Fresh seasonal fruit,1,Rum Daisy,units
Light rum,1.5,Rum Dubonnet,oz
Dubonnet,1.5,Rum Dubonnet,oz
Lemon juice,1,Rum Dubonnet,oz
Light rum,2.5,Rum Fix,oz
Simple syrup,0.5,Rum Fix,oz
Lemon,1,Rum Fix,units
Lime juice,1,Rum Fix with Lime juice,oz
Light rum,2.5,Rum Fix with Lime juice,oz
Simple syrup,0.5,Rum Fix with Lime juice,oz
Lemon twist,1,Rum Highball,units
Light,2,Rum Highball,oz
Dark rum,2,Rum Highball with Dark rum,oz
Lemon twist,1,Rum Highball with Dark rum,units
Ginger ale,3,Rum Highball,oz
Soda water,3,Rum Highball with Soda water,oz
Lemon twist,1,Rum Highball with Soda water,units
Light rum,2,Rum Martini,oz
Dry vermouth,1,Rum Martini,oz
Lemon twist,1,Rum Martini,units
Light rum,1.5,Rum Old-Fashioned,oz
151-proof rum,1,Rum Old-Fashioned,oz
Simple syrup,1,Rum Old-Fashioned,oz
Angostura bitters,1,Rum Old-Fashioned,oz
Lemon twist,1,Rum Old-Fashioned,units
Light rum,1.5,Rum Relaxer,oz
Pineapple juice,1,Rum Relaxer,oz
Grenadine,0.5,Rum Relaxer,oz
Orange wheel,1,Rum Relaxer,units
Maraschino cherry,1,Rum Relaxer,units
Light rum,1.5,Rum Rickey,oz
Lime juice,0.5,Rum Rickey,oz
Soda water,3,Rum Rickey,oz
Light rum,1.5,Rum Screwdriver,oz
Orange juice,5,Rum Screwdriver,oz
Light rum,2,Rum Sour,oz
Lemon juice,0.75,Rum Sour,oz
Simple syrup,0.75,Rum Sour,oz
Lime juice,1,Rum Swizzle,oz
Simple syrup,0.5,Rum Swizzle,oz
Angostura bitters,2,Rum Swizzle,oz
Soda water,3,Rum Swizzle,oz
Light,2,Rum Swizzle,oz
Dark rum,2,Rum Swizzle with Dark rum,oz
Lime juice,1,Rum Swizzle with Dark rum,oz
Simple syrup,0.5,Rum Swizzle with Dark rum,oz
Angostura bitters,2,Rum Swizzle with Dark rum,oz
Soda water,3,Rum Swizzle with Dark rum,oz
Simple syrup,1,Rum Toddy (Cold),oz
Brandy,0.5,Rum Toddy (Cold),oz
Light,2,Rum Toddy (Cold),oz
Dark rum,2,Rum Toddy (Cold) with Dark rum,oz
Simple syrup,1,Rum Toddy (Cold) with Dark rum,oz
Brandy,0.5,Rum Toddy (Cold) with Dark rum,oz
Vodka,1,Russian Bear Cocktail,oz
White creme de cacao,0.5,Russian Bear Cocktail,oz
Half-and-half,0.5,Russian Bear Cocktail,oz
Bitters,1,Rye Whiskey Cocktail,oz
Powdered sugar,1,Rye Whiskey Cocktail,oz
Rye whiskey,2,Rye Whiskey Cocktail,oz
Light rum,1.5,S & V,oz
Creole shrubb (rum-based orange liqueur),0.5,S & V,oz
Ruby port,0.5,S & V,oz
Lime juice,0.5,S & V,oz
Lime wheels,1,S & V,units
Dark rum,2,Saint Lucy Bracer,oz
Butterscotch schnapps,0.5,Saint Lucy Bracer,oz
Sweet vermouth,0.5,Saint Lucy Bracer,oz
Angostura bitters,2,Saint Lucy Bracer,oz
Edible flower,1,Saint Lucy Bracer,units
Such as nasturtium,1,Saint Lucy Bracer,units
Sake,1,Sake Martini,oz
Mr. boston gin,3,Sake Martini,oz
Sake,1,Sake Martini (Sakini),oz
Gin,3,Sake Martini (Sakini),oz
Lemon wedges,1,Salty Dog,units
Coarse salt,1,Salty Dog,oz
Vodka,1.5,Salty Dog,oz
Grapefruit juice,5,Salty Dog,oz
Vodka,1.5,Sampan Shipwreck A,oz
Orange liqueur,0.5,Sampan Shipwreck A,oz
Canned coconut milk,0.5,Sampan Shipwreck A,oz
Cold brewed chai tea,0.5,Sampan Shipwreck A,oz
Pineapple wedge,1,Sampan Shipwreck A,units
Orgeat,0.5,Sampan Shipwreck A,oz
Almond syrup,0.5,Sampan Shipwreck A with Almond syrup,oz
Vodka,1.5,Sampan Shipwreck A with Almond syrup,oz
Orange liqueur,0.5,Sampan Shipwreck A with Almond syrup,oz
Canned coconut milk,0.5,Sampan Shipwreck A with Almond syrup,oz
Cold brewed chai tea,0.5,Sampan Shipwreck A with Almond syrup,oz
Pineapple wedge,1,Sampan Shipwreck A with Almond syrup,units
Sloe gin,0.75,San Francisco,oz
Sweet vermouth,0.75,San Francisco,oz
Dry vermouth,0.75,San Francisco,oz
Bitters,1,San Francisco,oz
Orange bitters,1,San Francisco,oz
Green chartreuse,1,Sand-Martin Cocktail,oz
Sweet vermouth,1.5,Sand-Martin Cocktail,oz
Gin,1.5,Sand-Martin Cocktail,oz
Green chartreuse,1,Sand-Martini Cocktail,oz
Sweet vermouth,1.5,Sand-Martini Cocktail,oz
Gin,1.5,Sand-Martini Cocktail,oz
Sake,1,Sand-Martini Cocktail,oz
Reposado tequila,1.5,Santana Sling,oz
Cherry heering,0.5,Santana Sling,oz
Lime juice,0.5,Santana Sling,oz
Ginger beer,3,Santana Sling,oz
Batavia arrack,0.25,Santana Sling,oz
Light rum,0.25,Santana Sling with Light rum,oz
Reposado tequila,1.5,Santana Sling with Light rum,oz
Cherry heering,0.5,Santana Sling with Light rum,oz
Lime juice,0.5,Santana Sling with Light rum,oz
Ginger beer,3,Santana Sling with Light rum,oz
Light rum,1.5,Santiago Cocktail,oz
Lime juice,1,Santiago Cocktail,oz
Simple syrup,0.5,Santiago Cocktail,oz
Grenadine,0.5,Santiago Cocktail,oz
Brandy,2,Saratoga Cocktail,oz
Bitters,2,Saratoga Cocktail,oz
Lemon juice,1,Saratoga Cocktail,oz
Pineapple juice,1,Saratoga Cocktail,oz
Maraschino,0.5,Saratoga Cocktail,oz
Aged rhum agricole,2,Sargasso,oz
Dry sherry,0.75,Sargasso,oz
Aperol,0.5,Sargasso,oz
Angostura bitters,2,Sargasso,oz
Orange wheel,1,Sargasso,units
Amaretto di saronno,1,Saronno,oz
Mr. boston five star brandy,1,Saronno,oz
Light cream,1,Saronno,oz
Amaretto di saronno,3,Saronno Colada (Nutty Colada),oz
Coconut milk,3,Saronno Colada (Nutty Colada),oz
Crushed pineapple,3,Saronno Colada (Nutty Colada),oz
Amaretto di saronno,1.5,Saronno Mist,oz
Amaretto di saronno,1.5,Saronno Rose,oz
Roses lime juice,0.5,Saronno Rose,oz
Club soda,1,Saronno Rose,units
Blanco tequila,1.5,Satin Sheets,oz
Falernum,0.5,Satin Sheets,oz
Simple syrup,0.5,Satin Sheets,oz
Lime juice,0.75,Satin Sheets,oz
Lime wheels,1,Satin Sheets,units
Juice of orange,0.5,Savannah,oz
Gin,1,Savannah,oz
White creme de cacao,1,Savannah,oz
Egg white,1,Savannah,units
Light rum,1.75,Saxon Cocktail,oz
Lime juice,0.5,Saxon Cocktail,oz
Grenadine,0.5,Saxon Cocktail,oz
Scotch,1.5,Scotch Bird Flyer,oz
Egg yolk,1,Scotch Bird Flyer,units
Triple sec,0.5,Scotch Bird Flyer,oz
Powdered sugar,0.5,Scotch Bird Flyer,oz
Light cream,1,Scotch Bird Flyer,oz
Old mr. boston white creme de menthe,0.5,Scotch Cocktail,oz
Desmond & duff scotch whisky,1.5,Scotch Cocktail,oz
Desmond & duff scotch whisky,2,Scotch Whisky Highball,oz
Ginger ale,3,Scotch Whisky Highball,oz
Lemon twist,1,Scotch Whisky Highball,units
Vodka,1.5,Screwdriver,oz
Orange juice,5,Screwdriver,oz
Vodka,1.5,Sea Breeze,oz
Cranberry juice,4,Sea Breeze,oz
Fresh grapefruit juice,1,Sea Breeze,oz
Lime wedges,1,Sea Breeze,units
Blanco tequila,1.5,Sea Of Cortez,oz
Lime juice,1,Sea Of Cortez,oz
Creme de cassis,0.75,Sea Of Cortez,oz
Orange curacao,0.25,Sea Of Cortez,oz
Old mr. boston blended whiskey,1,Seaboabd,oz
Old mr. boston dry gin,1,Seaboabd,oz
Lemon juice,1,Seaboabd,oz
Powdered sugar,1,Seaboabd,oz
Egg white,1,September Morn Cocktail,units
Light rum,1,September Morn Cocktail,oz
Lime juice,0.5,September Morn Cocktail,oz
Grenadine,1,September Morn Cocktail,oz
Powdered sugar,0.5,Sevilla Cocktail,oz
Egg,1,Sevilla Cocktail,units
Port,1,Sevilla Cocktail,oz
Light rum,1,Sevilla Cocktail,oz
Blanco tequila,1,Shady Lady,oz
Melon liqueur,1,Shady Lady,oz
Fresh grapefruit juice,4,Shady Lady,oz
Fresh grapefruit juice,4,Shady Lady,oz
Lime wedges,1,Shady Lady,units
Honeydew melon wedge,1,Shady Lady,units
Maraschino cherry,1,Shady Lady with Maraschino cherry,units
Blanco tequila,1,Shady Lady with Maraschino cherry,oz
Melon liqueur,1,Shady Lady with Maraschino cherry,oz
Fresh grapefruit juice,4,Shady Lady with Maraschino cherry,oz
Fresh grapefruit juice,4,Shady Lady with Maraschino cherry,oz
